date,rank,song,artist,last-week,peak-rank,weeks-on-board
2021-10-30,1,Easy On Me,Adele,68,1,2
2021-10-30,2,Stay,The Kid LAROI and Justin Bieber,2,1,15
2021-10-30,3,Industry Baby,Lil Nas X and Jack Harlow,1,1,13
2021-10-30,4,Fancy Like,Walker Hayes,3,3,18
2021-10-30,5,Bad Habits,Ed Sheeran,4,2,17
2021-10-30,6,Way 2 Sexy,Drake Featuring Future and Young Thug,5,1,7
2021-10-30,7,Good 4 U,Olivia Rodrigo,6,1,23
2021-10-30,8,Levitating,Dua Lipa,8,2,55
2021-10-30,9,Shivers,Ed Sheeran,10,9,6
2021-10-30,10,Kiss Me More,Doja Cat Featuring SZA,7,3,28
2021-10-30,11,Need To Know,Doja Cat,11,11,19
2021-10-30,12,Essence,Wizkid Featuring Justin Bieber and Tems,9,9,16
2021-10-30,13,My Universe,Coldplay x BTS,18,1,4
2021-10-30,14,Heat Waves,Glass Animals,12,12,40
2021-10-30,15,Beggin,Maneskin,15,15,17
2021-10-30,16,You Right,Doja Cat and The Weeknd,16,11,17
2021-10-30,17,Save Your Tears,The Weeknd and Ariana Grande,13,1,45
2021-10-30,18,Knife Talk,Drake Featuring 21 Savage and Project Pat,14,4,7
2021-10-30,19,Who Want Smoke??,Nardo Wick Featuring G Herbo- Lil Durk and 21 Savage,17,17,2
2021-10-30,20,Bubbly,Young Thug With Drake and Travis Scott,0,20,1
2021-10-30,21,Cold Heart (PNAU Remix),Elton John and Dua Lipa,25,21,7
2021-10-30,22,Traitor,Olivia Rodrigo,21,9,22
2021-10-30,23,If I Didnt Love You,Jason Aldean and Carrie Underwood,19,15,13
2021-10-30,24,Montero (Call Me By Your Name),Lil Nas X,20,1,30
2021-10-30,25,Chasing After You,Ryan Hurd With Maren Morris,23,23,25
2021-10-30,26,Girls Want Girls,Drake Featuring Lil Baby,22,2,7
2021-10-30,27,Take My Breath,The Weeknd,24,6,11
2021-10-30,28,Thats What I Want,Lil Nas X,26,10,5
2021-10-30,29,Pepas,Farruko,27,25,13
2021-10-30,30,Happier Than Ever,Billie Eilish,30,11,12
2021-10-30,31,Love Nwantiti (Ah Ah Ah),CKay,31,31,5
2021-10-30,32,Meet Me At Our Spot,THE ANXIETY: WILLOW and Tyler Cole,44,32,6
2021-10-30,33,Wockesha,Moneybagg Yo,29,20,26
2021-10-30,34,Buy Dirt,Jordan Davis Featuring Luke Bryan,40,34,11
2021-10-30,35,Memory I Dont Mess With,Lee Brice,35,33,13
2021-10-30,36,A-O-K,Tai Verdes,34,34,16
2021-10-30,37,My Boy,Elvie Shane,28,28,17
2021-10-30,38,Ghost,Justin Bieber,32,32,4
2021-10-30,39,Pissed Me Off,Lil Durk,0,39,1
2021-10-30,40,You Should Probably Leave,Chris Stapleton,43,40,16
2021-10-30,41,Cold As You,Luke Combs,45,41,12
2021-10-30,42,I Was On A Boat That Day,Old Dominion,37,37,16
2021-10-30,43,Sharing Locations,Meek Mill Featuring Lil Baby and Lil Durk,36,22,8
2021-10-30,44,Leave The Door Open,Silk Sonic (Bruno Mars and Anderson .Paak),38,1,33
2021-10-30,45,Lets Go Brandon,Loza Alexander,0,45,1
2021-10-30,46,Gyalis,Capella Grey,46,38,12
2021-10-30,47,Wild Side,Normani Featuring Cardi B,52,14,14
2021-10-30,48,Fair Trade,Drake Featuring Travis Scott,39,3,7
2021-10-30,49,Leave Before You Love Me,Marshmello X Jonas Brothers,48,19,22
2021-10-30,50,Deja Vu,Olivia Rodrigo,42,3,29
2021-10-30,51,Thinking Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,55,51,10
2021-10-30,52,Family Ties,Baby Keem and Kendrick Lamar,49,18,8
2021-10-30,53,Have Mercy,Chloe,54,28,6
2021-10-30,54,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,33,26,16
2021-10-30,55,Same Boat,Zac Brown Band,64,55,5
2021-10-30,56,Ex For A Reason,Summer Walker and JT,0,56,1
2021-10-30,57,Better Days,NEIKED X Mae Muller X Polo G,0,57,1
2021-10-30,58,Hurricane,Kanye West,50,6,8
2021-10-30,59,Baddest,Yung Bleu- Chris Brown and 2 Chainz,56,56,12
2021-10-30,60,Late At Night,Roddy Ricch,57,20,20
2021-10-30,61,Love Again,Dua Lipa,47,41,14
2021-10-30,62,Memory,Kane Brown X blackbear,60,50,15
2021-10-30,63,Chosen,Blxst and Tyga Featuring Ty Dolla $ign,65,63,4
2021-10-30,64,Knowing You,Kenny Chesney,62,62,10
2021-10-30,65,Woman,Doja Cat,63,62,12
2021-10-30,66,Esta Danada,Ivan Cornejo,61,61,3
2021-10-30,67,WFM,Realestk,75,67,2
2021-10-30,68,Livin It Up,Young Thug With Post Malone and A$AP Rocky,0,68,1
2021-10-30,69,Stressed,Young Thug With J. Cole and T-Shyne,0,69,1
2021-10-30,70,Whole Lotta Money,BIA Featuring Nicki Minaj,59,16,15
2021-10-30,71,Too Easy,Gunna and Future,66,38,4
2021-10-30,72,2055,Sleepy Hallow,58,51,14
2021-10-30,73,Lo Siento BB:/,Tainy- Bad Bunny and Julieta Venegas,51,51,2
2021-10-30,74,Sand In My Boots,Morgan Wallen,72,32,14
2021-10-30,75,Volvi,Aventura x Bad Bunny,67,22,12
2021-10-30,76,Til You Cant,Cody Johnson,94,76,2
2021-10-30,77,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,69,69,3
2021-10-30,78,Rich N***a Shit,Young Thug With Juice WRLD,0,78,1
2021-10-30,79,Yonaguni,Bad Bunny,76,10,20
2021-10-30,80,One Mississippi,Kane Brown,78,73,4
2021-10-30,81,Whiskey And Rain,Michael Ray,82,81,3
2021-10-30,82,Thot Shit,Megan Thee Stallion,71,16,19
2021-10-30,83,Tequila Little Time,Jon Pardi,86,83,2
2021-10-30,84,Freedom Was A Highway,Jimmie Allen and Brad Paisley,88,84,2
2021-10-30,85,Maybach,42 Dugg Featuring Future,85,68,4
2021-10-30,86,Get Into It (Yuh),Doja Cat,79,68,11
2021-10-30,87,No Friends In The Industry,Drake,74,11,7
2021-10-30,88,For Tonight,Giveon,98,88,3
2021-10-30,89,Praise God,Kanye West,99,20,4
2021-10-30,90,Champagne Poetry,Drake,77,4,7
2021-10-30,91,Let Somebody Go,Coldplay X Selena Gomez,0,91,1
2021-10-30,92,Ya Superame (En Vivo Desde Culiacan- Sinaloa),Grupo Firme,0,92,1
2021-10-30,93,You Time,Scotty McCreery,80,50,12
2021-10-30,94,In The Bible,Drake Featuring Lil Durk and Giveon,83,7,7
2021-10-30,95,Peepin Out The Window,Young Thug With Future and BSlime,0,95,1
2021-10-30,96,Whos In Your Head,Jonas Brothers,95,95,2
2021-10-30,97,Woo Baby,Pop Smoke Featuring Chris Brown,92,64,3
2021-10-30,98,Flocky Flocky,Don Toliver Featuring Travis Scott,53,53,2
2021-10-30,99,Like A Lady,Lady A,90,90,2
2021-10-30,100,Just About Over You,Priscilla Block,97,97,2
2021-10-23,1,Industry Baby,Lil Nas X and Jack Harlow,2,1,12
2021-10-23,2,Stay,The Kid LAROI and Justin Bieber,1,1,14
2021-10-23,3,Fancy Like,Walker Hayes,3,3,17
2021-10-23,4,Bad Habits,Ed Sheeran,5,2,16
2021-10-23,5,Way 2 Sexy,Drake Featuring Future and Young Thug,4,1,6
2021-10-23,6,Good 4 U,Olivia Rodrigo,6,1,22
2021-10-23,7,Kiss Me More,Doja Cat Featuring SZA,7,3,27
2021-10-23,8,Levitating,Dua Lipa,8,2,54
2021-10-23,9,Essence,Wizkid Featuring Justin Bieber and Tems,10,9,15
2021-10-23,10,Shivers,Ed Sheeran,11,10,5
2021-10-23,11,Need To Know,Doja Cat,13,11,18
2021-10-23,12,Heat Waves,Glass Animals,15,12,39
2021-10-23,13,Save Your Tears,The Weeknd and Ariana Grande,14,1,44
2021-10-23,14,Knife Talk,Drake Featuring 21 Savage and Project Pat,9,4,6
2021-10-23,15,Beggin,Maneskin,16,15,16
2021-10-23,16,You Right,Doja Cat and The Weeknd,18,11,16
2021-10-23,17,Who Want Smoke??,Nardo Wick Featuring G Herbo- Lil Durk and 21 Savage,0,17,1
2021-10-23,18,My Universe,Coldplay x BTS,12,1,3
2021-10-23,19,If I Didnt Love You,Jason Aldean and Carrie Underwood,19,15,12
2021-10-23,20,Montero (Call Me By Your Name),Lil Nas X,17,1,29
2021-10-23,21,Traitor,Olivia Rodrigo,21,9,21
2021-10-23,22,Girls Want Girls,Drake Featuring Lil Baby,20,2,6
2021-10-23,23,Chasing After You,Ryan Hurd With Maren Morris,24,23,24
2021-10-23,24,Take My Breath,The Weeknd,22,6,10
2021-10-23,25,Cold Heart (PNAU Remix),Elton John and Dua Lipa,32,25,6
2021-10-23,26,Thats What I Want,Lil Nas X,26,10,4
2021-10-23,27,Pepas,Farruko,25,25,12
2021-10-23,28,My Boy,Elvie Shane,42,28,16
2021-10-23,29,Wockesha,Moneybagg Yo,27,20,25
2021-10-23,30,Happier Than Ever,Billie Eilish,29,11,11
2021-10-23,31,Love Nwantiti (Ah Ah Ah),CKay,35,31,4
2021-10-23,32,Ghost,Justin Bieber,93,32,3
2021-10-23,33,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,28,26,15
2021-10-23,34,A-O-K,Tai Verdes,34,34,15
2021-10-23,35,Memory I Dont Mess With,Lee Brice,33,33,12
2021-10-23,36,Sharing Locations,Meek Mill Featuring Lil Baby and Lil Durk,23,22,7
2021-10-23,37,I Was On A Boat That Day,Old Dominion,45,37,15
2021-10-23,38,Leave The Door Open,Silk Sonic (Bruno Mars and Anderson .Paak),37,1,32
2021-10-23,39,Fair Trade,Drake Featuring Travis Scott,30,3,6
2021-10-23,40,Buy Dirt,Jordan Davis Featuring Luke Bryan,43,40,10
2021-10-23,41,Peaches,Justin Bieber Featuring Daniel Caesar and Giveon,39,1,30
2021-10-23,42,Deja Vu,Olivia Rodrigo,31,3,28
2021-10-23,43,You Should Probably Leave,Chris Stapleton,51,43,15
2021-10-23,44,Meet Me At Our Spot,THE ANXIETY: WILLOW and Tyler Cole,47,44,5
2021-10-23,45,Cold As You,Luke Combs,53,45,11
2021-10-23,46,Gyalis,Capella Grey,38,38,11
2021-10-23,47,Love Again,Dua Lipa,41,41,13
2021-10-23,48,Leave Before You Love Me,Marshmello X Jonas Brothers,40,19,21
2021-10-23,49,Family Ties,Baby Keem and Kendrick Lamar,46,18,7
2021-10-23,50,Hurricane,Kanye West,44,6,7
2021-10-23,51,Lo Siento BB:/,Tainy- Bad Bunny and Julieta Venegas,0,51,1
2021-10-23,52,Wild Side,Normani Featuring Cardi B,48,14,13
2021-10-23,53,Flocky Flocky,Don Toliver Featuring Travis Scott,0,53,1
2021-10-23,54,Have Mercy,Chloe,50,28,5
2021-10-23,55,Thinking Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,57,55,9
2021-10-23,56,Baddest,Yung Bleu- Chris Brown and 2 Chainz,56,56,11
2021-10-23,57,Late At Night,Roddy Ricch,49,20,19
2021-10-23,58,2055,Sleepy Hallow,63,51,13
2021-10-23,59,Whole Lotta Money,BIA Featuring Nicki Minaj,52,16,14
2021-10-23,60,Memory,Kane Brown X blackbear,68,50,14
2021-10-23,61,Esta Danada,Ivan Cornejo,96,61,2
2021-10-23,62,Knowing You,Kenny Chesney,67,62,9
